id,destination_name,city,state_region,country,category,description,best_time_to_visit,average_budget,safety_score,popularity_score,latitude,longitude,image_url
1a29c2e2-8d02-4a5d-8628-5c1f1222a381,Jaisalmer,Jaisalmer,Rajasthan,India,desert,Vast desert with golden dunes and starry nights.,Apr-Jun,17498,9.2,8.1,26.9266,70.8754,https://images.unsplash.com/photo-1509316785289-025f5b846b35?w=800
905b6be7-74d0-4d0d-ab34-9e4ce2016b97,Pushkar,Pushkar,Rajasthan,India,religious,Sacred pilgrimage site with spiritual significance.,Nov-Feb,5677,7.3,6.3,26.5324,74.5698,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
1f533550-61b2-402c-a67b-fc4c6c53d862,Bikaner,Bikaner,Rajasthan,India,heritage,Historic destination with ancient monuments and architectural marvels.,Nov-Feb,17216,6.8,8.7,27.9785,73.3441,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
0c87f943-d2de-477d-bc2a-4934ff4f40ef,Mount Abu,Mount Abu,Rajasthan,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Apr-Jun,11572,6.6,6.0,24.6369,72.7532,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
4a3839c0-d93e-436b-9f53-cfdb61b715d7,Ranthambore,Ranthambore,Rajasthan,India,national_park,Protected wildlife sanctuary with diverse fauna.,Apr-Jun,8483,8.1,6.9,26.0588,76.4985,https://images.unsplash.com/photo-1516026672322-bc52d61a55d5?w=800
b691e531-8a62-407d-b2df-2e09b9cbc375,Kochi,Kochi,Kerala,India,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Apr-Jun,14575,6.5,7.7,9.9075,76.2758,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
61f21e25-022a-46ef-a903-8c1502f57086,Munnar,Munnar,Kerala,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Year-round,11543,6.9,9.8,10.053,77.0589,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
62f21984-6ba1-4a19-bafb-2f6bd8e8ffd3,Alleppey,Alleppey,Kerala,India,backwater,Serene backwater destination with houseboat stays.,Oct-Mar,11592,6.1,5.8,9.5161,76.3484,https://images.unsplash.com/photo-1602002418082-a4443e081dd1?w=800
4e77ea52-306b-4727-81d5-c7634aebe4db,Thekkady,Thekkady,Kerala,India,national_park,Protected wildlife sanctuary with diverse fauna.,Jul-Sep,11252,7.9,7.2,9.5751,77.1653,https://images.unsplash.com/photo-1516026672322-bc52d61a55d5?w=800
f4a7ea6d-1b84-4370-ba38-bb2fda48fb89,Kovalam,Kovalam,Kerala,India,beach,Stunning coastal destination with golden sands and azure waters.,Oct-Mar,11753,8.2,7.6,8.3771,76.9928,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
bfa6e637-76eb-445b-ab32-3219783a9c2a,Varkala,Varkala,Kerala,India,beach,Stunning coastal destination with golden sands and azure waters.,Oct-Mar,17617,7.2,7.2,8.7833,76.7539,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
a0263033-fe61-431f-8558-050af4350324,Wayanad,Wayanad,Kerala,India,nature,Pristine natural destination with lush landscapes and wildlife.,Apr-Jun,13201,8.5,7.4,11.646,76.1445,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800
fe9475d2-e079-46ab-b65f-8e1a16a09630,Bangalore,Bangalore,Karnataka,India,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Year-round,29954,6.3,6.8,12.9378,77.6399,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
a6a5e362-7046-4186-8b37-fc55b31a7e66,Mysore,Mysore,Karnataka,India,heritage,Historic destination with ancient monuments and architectural marvels.,Year-round,21048,5.5,6.6,12.2477,76.6823,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
2b15d43d-53a2-4931-a096-c6dda3b57184,Coorg,Coorg,Karnataka,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Apr-Jun,8923,5.7,9.2,12.4691,75.6968,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
c93742c5-4b41-4c08-913a-4f9c1e0545f9,Hampi,Hampi,Karnataka,India,heritage,Historic destination with ancient monuments and architectural marvels.,Jul-Sep,19369,5.8,8.7,15.3616,76.4228,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
5afc8c0a-3c43-40d8-a926-966425fd03e5,Gokarna,Gokarna,Karnataka,India,beach,Stunning coastal destination with golden sands and azure waters.,Jul-Sep,13410,6.6,9.2,14.5402,74.29,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
b65a2fa8-5d91-40e9-9b79-df348c23af30,Chikmagalur,Chikmagalur,Karnataka,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Year-round,17374,8.4,6.0,13.2973,75.8215,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
18c3a654-44c9-48fd-bce5-7f2fec28298c,Chennai,Chennai,Tamil Nadu,India,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Apr-Jun,24355,9.1,7.2,13.0575,80.2271,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
83baf198-26d4-4173-a54b-360306e3a267,Ooty,Ooty,Tamil Nadu,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Oct-Mar,14638,7.7,7.8,11.3571,76.714,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
2682021c-b06b-4942-beac-62f3693c48e8,Kodaikanal,Kodaikanal,Tamil Nadu,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Oct-Mar,8750,5.8,5.2,10.2211,77.4906,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
e09e8c65-a183-4a73-95e7-e202e30805fa,Mahabalipuram,Mahabalipuram,Tamil Nadu,India,heritage,Historic destination with ancient monuments and architectural marvels.,Apr-Jun,16960,7.4,7.6,12.6385,80.231,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
37c2cf2f-6414-4189-a856-fe63de6ba213,Rameswaram,Rameswaram,Tamil Nadu,India,religious,Sacred pilgrimage site with spiritual significance.,Year-round,10744,6.5,7.3,9.2783,79.2723,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
6a8ff9a8-9f98-4ca9-b777-d20ace0960b3,Madurai,Madurai,Tamil Nadu,India,religious,Sacred pilgrimage site with spiritual significance.,Jul-Sep,8804,7.2,7.2,9.9481,78.1371,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
48f26f15-f6d2-4a12-b755-b4b845c6c8a6,Mumbai,Mumbai,Maharashtra,India,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Oct-Mar,11986,7.1,6.6,19.1122,72.8526,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
4564f820-5261-4e45-a212-8bac3cf0fb93,Pune,Pune,Maharashtra,India,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Nov-Feb,27573,7.3,7.0,18.4983,73.8317,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
746cc333-af7c-4205-9364-09c3f74f566a,Aurangabad,Aurangabad,Maharashtra,India,heritage,Historic destination with ancient monuments and architectural marvels.,Oct-Mar,13260,8.7,9.1,19.836,75.3585,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
cf2d1d5c-089d-42f3-a9a9-94172e756974,Lonavala,Lonavala,Maharashtra,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Year-round,18697,5.6,5.4,18.7811,73.3827,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
d95e84f4-3256-452b-9f2c-858658aa3333,Mahabaleshwar,Mahabaleshwar,Maharashtra,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Jul-Sep,12956,7.4,9.2,17.9637,73.6251,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
c7edc276-14f4-4e9e-8ce7-0e7759a21fb9,Nasik,Nasik,Maharashtra,India,religious,Sacred pilgrimage site with spiritual significance.,Oct-Mar,9396,6.6,8.8,19.993,73.7821,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
63332c79-906a-471b-8482-09e8aafc68d5,Agra,Agra,Uttar Pradesh,India,heritage,Historic destination with ancient monuments and architectural marvels.,Year-round,16844,8.4,5.7,27.1564,78.055,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
96097997-2fe2-4ae2-a476-8b92aece2e79,Varanasi,Varanasi,Uttar Pradesh,India,religious,Sacred pilgrimage site with spiritual significance.,Year-round,11883,5.7,6.5,25.2726,82.9716,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
aa7ed065-72a9-46f6-9a60-fe26885fd761,Lucknow,Lucknow,Uttar Pradesh,India,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Year-round,15158,5.7,7.4,26.8818,80.9031,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
a1e31474-139d-4f93-9a83-57c3f518cfa1,Mathura,Mathura,Uttar Pradesh,India,religious,Sacred pilgrimage site with spiritual significance.,Oct-Mar,14062,8.9,6.9,27.5366,77.6807,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
ea342959-57e9-44fa-99ba-35aeb3ee2be7,Vrindavan,Vrindavan,Uttar Pradesh,India,religious,Sacred pilgrimage site with spiritual significance.,Year-round,12740,5.7,5.4,27.5869,77.7107,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
cf2edd1a-9e7c-4fa0-98b5-081a25f5b149,Ayodhya,Ayodhya,Uttar Pradesh,India,religious,Sacred pilgrimage site with spiritual significance.,Apr-Jun,7272,6.3,8.4,26.7661,82.1894,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
c12fe7dd-c9fc-438a-8e85-bfbe4e4fc11a,Ahmedabad,Ahmedabad,Gujarat,India,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Apr-Jun,24982,6.8,8.6,22.9798,72.5672,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
d7042974-d8f2-4f4b-aa83-2f107f7cc53c,Rann of Kutch,Rann of Kutch,Gujarat,India,desert,Vast desert with golden dunes and starry nights.,Year-round,7638,5.8,6.0,23.7102,70.8455,https://images.unsplash.com/photo-1509316785289-025f5b846b35?w=800
725f450d-88a1-4c22-9f4f-7ca7592e5a53,Somnath,Somnath,Gujarat,India,religious,Sacred pilgrimage site with spiritual significance.,Oct-Mar,7002,7.0,5.8,20.934,70.4046,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
b7af16f1-17f1-4a09-95b4-ecbd8b19259c,Dwarka,Dwarka,Gujarat,India,religious,Sacred pilgrimage site with spiritual significance.,Year-round,13714,7.6,8.2,22.2497,69.0117,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
7c01099d-c317-4cd2-a0e9-017b3b40f476,Rishikesh,Rishikesh,Uttarakhand,India,religious,Sacred pilgrimage site with spiritual significance.,Oct-Mar,5200,6.6,9.3,30.1111,78.2331,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
cc9a8813-b129-4e9a-b86c-869c7c736334,Haridwar,Haridwar,Uttarakhand,India,religious,Sacred pilgrimage site with spiritual significance.,Apr-Jun,12909,6.3,6.6,29.9644,78.1995,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
3e5b443e-8d92-4836-a0fb-9bb68473064f,Nainital,Nainital,Uttarakhand,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Year-round,13004,6.5,9.4,29.3354,79.477,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
cbc9cea4-2a35-4877-b640-2a4a398057a4,Mussoorie,Mussoorie,Uttarakhand,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Apr-Jun,5722,5.5,8.7,30.4735,78.0426,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
1614ac08-0a75-4cea-ac7c-b8f3826d5ec8,Jim Corbett,Jim Corbett,Uttarakhand,India,national_park,Protected wildlife sanctuary with diverse fauna.,Jul-Sep,14038,8.3,7.7,29.4912,78.8192,https://images.unsplash.com/photo-1516026672322-bc52d61a55d5?w=800
9b410cca-ffe5-44a0-a27e-77704531c3c9,Auli,Auli,Uttarakhand,India,ski_resort,Premier ski destination with world-class slopes.,Nov-Feb,29877,5.6,6.8,30.5296,79.558,https://images.unsplash.com/photo-1467809941588-68d5c9e3c9fd?w=800
3b1f5e73-940c-4edb-893a-44052093523d,Kedarnath,Kedarnath,Uttarakhand,India,religious,Sacred pilgrimage site with spiritual significance.,Oct-Mar,8050,7.0,9.5,30.7824,79.0209,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
9649f033-86e4-4ea3-a1ca-3eaa589055f3,Badrinath,Badrinath,Uttarakhand,India,religious,Sacred pilgrimage site with spiritual significance.,Apr-Jun,6441,8.2,8.2,30.7287,79.4998,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
73580b28-a0b9-4417-8f9d-0e630db3257c,Khajuraho,Khajuraho,Madhya Pradesh,India,heritage,Historic destination with ancient monuments and architectural marvels.,Jul-Sep,21955,8.0,5.7,24.8748,79.9564,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
f2c7ec10-e696-4188-afb4-0bd8075dc9d3,Bhopal,Bhopal,Madhya Pradesh,India,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Nov-Feb,38882,7.1,5.9,23.3023,77.4408,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
d49501a9-6930-4675-9100-7e172ae3b279,Bandhavgarh,Bandhavgarh,Madhya Pradesh,India,national_park,Protected wildlife sanctuary with diverse fauna.,Jul-Sep,18143,8.2,8.5,23.6971,81.0006,https://images.unsplash.com/photo-1516026672322-bc52d61a55d5?w=800
dc8cb3df-e238-41fc-bae8-c8ad268b0c47,Orchha,Orchha,Madhya Pradesh,India,heritage,Historic destination with ancient monuments and architectural marvels.,Oct-Mar,12267,9.0,9.1,25.3241,78.6729,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
c2be1b34-028c-42de-b788-f540c4a8ce66,Panchmarhi,Panchmarhi,Madhya Pradesh,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Jul-Sep,10728,6.7,8.8,22.4404,78.3876,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
c9263e80-8f6a-4115-aa49-86c91d73610a,Kolkata,Kolkata,West Bengal,India,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Nov-Feb,23056,6.8,9.1,22.6193,88.3418,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
6fcdbbed-dc5d-4f93-8361-986107b6e198,Darjeeling,Darjeeling,West Bengal,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Year-round,11548,8.2,9.0,27.0191,88.2155,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
799cd7f4-23d9-44b2-8d70-c8f0fbdb2998,Sundarbans,Sundarbans,West Bengal,India,national_park,Protected wildlife sanctuary with diverse fauna.,Apr-Jun,7925,7.8,9.7,21.9035,88.9082,https://images.unsplash.com/photo-1516026672322-bc52d61a55d5?w=800
909f9fce-346b-49e9-80bb-c46bdcbbee06,Puri,Puri,Odisha,India,religious,Sacred pilgrimage site with spiritual significance.,Apr-Jun,14936,8.6,7.1,19.8619,85.7928,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
3a35954b-1b8b-4f1b-9c2e-81f2653b2406,Bhubaneswar,Bhubaneswar,Odisha,India,heritage,Historic destination with ancient monuments and architectural marvels.,Year-round,9114,6.5,8.4,20.2463,85.8671,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
a70c8dba-b68c-4fa2-b4df-a905ffa99734,Konark,Konark,Odisha,India,heritage,Historic destination with ancient monuments and architectural marvels.,Year-round,17253,8.4,8.6,19.9047,86.0809,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
9a61b147-4c6c-473d-a9dc-c9802a91b6f9,Hyderabad,Hyderabad,Telangana,India,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Oct-Mar,31765,9.2,8.0,17.4013,78.4492,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
c6af2259-707b-4ab2-ba55-17b32e256d7a,Tirupati,Tirupati,Andhra Pradesh,India,religious,Sacred pilgrimage site with spiritual significance.,Apr-Jun,11308,6.7,7.0,13.619,79.3988,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
c66aca8c-f85c-4f69-80dd-300dfc1571a5,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,beach,Stunning coastal destination with golden sands and azure waters.,Nov-Feb,14286,7.2,9.5,17.7045,83.2588,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
6db92dbe-94e2-472c-948f-1c236124aec1,Guwahati,Guwahati,Assam,India,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Year-round,28648,6.7,7.6,26.0945,91.7149,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
90fbd830-6d92-4dc9-8738-b0197c8963cb,Kaziranga,Kaziranga,Assam,India,national_park,Protected wildlife sanctuary with diverse fauna.,Jul-Sep,17873,7.8,8.1,26.574,93.1653,https://images.unsplash.com/photo-1516026672322-bc52d61a55d5?w=800
ec678660-05ce-4e13-8874-de38b65a68b0,Shillong,Shillong,Meghalaya,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Nov-Feb,13375,7.4,9.3,25.6084,91.8603,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
4f0e067a-1bb2-4aaa-b8e8-ba1decde8e75,Cherrapunji,Cherrapunji,Meghalaya,India,nature,Pristine natural destination with lush landscapes and wildlife.,Oct-Mar,9649,7.6,8.0,25.2682,91.7656,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800
8d127b6c-8ebd-451a-90fe-0a40bc83fae2,Gangtok,Gangtok,Sikkim,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Nov-Feb,16023,6.7,8.9,27.2961,88.5684,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
8af03a2d-b479-433c-af81-52452392345e,Leh,Leh,Ladakh,India,adventure,"Thrilling destination for trekking, skiing, and adventure sports.",Jul-Sep,28030,8.9,5.3,34.144,77.5901,https://images.unsplash.com/photo-1551632811-561732d1e306?w=800
8395eb86-a64c-4449-8de1-5c2388980b56,Srinagar,Srinagar,Jammu and Kashmir,India,nature,Pristine natural destination with lush landscapes and wildlife.,Nov-Feb,16769,8.3,7.4,34.0581,74.8129,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800
201b19d6-8425-4f02-a506-ce8a6fdd3d1b,Amritsar,Amritsar,Punjab,India,religious,Sacred pilgrimage site with spiritual significance.,Oct-Mar,4746,8.6,6.1,31.6644,74.8919,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
eea57021-521c-4b20-b8a3-8055716b6ef3,Chandigarh,Chandigarh,Punjab,India,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Jul-Sep,11645,7.7,9.4,30.6954,76.7427,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
98331369-02f0-4b82-bd84-080d8c63715d,Port Blair,Port Blair,Andaman,India,island,Tropical island paradise with turquoise waters.,Jul-Sep,58750,7.6,7.7,11.6051,92.752,https://images.unsplash.com/photo-1506197603052-3cc9c3a201bd?w=800
22691f9f-b481-4ea8-8ac7-907047eb5302,Havelock Island,Havelock Island,Andaman,India,island,Tropical island paradise with turquoise waters.,Jul-Sep,55150,8.8,9.3,12.0145,93.0276,https://images.unsplash.com/photo-1506197603052-3cc9c3a201bd?w=800
e14aa75e-a83d-4d6a-9c23-21f9e8910d93,Vaishno Devi,Vaishno Devi,Jammu and Kashmir,India,religious,Sacred pilgrimage site with spiritual significance.,Jul-Sep,5607,8.5,7.3,33.0055,74.9268,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
0bd0b165-f413-4123-b607-bc74b958deb7,Bodh Gaya,Bodh Gaya,Bihar,India,religious,Sacred pilgrimage site with spiritual significance.,Apr-Jun,11540,7.4,6.1,24.6901,85.0127,https://images.unsplash.com/photo-1545126218-ab2e43f54571?w=800
80f2f749-ef07-4d68-8e28-7df7c12bfd57,Nalanda,Nalanda,Bihar,India,heritage,Historic destination with ancient monuments and architectural marvels.,Nov-Feb,10451,6.8,9.3,25.0947,85.4093,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
40fa2033-9c50-42b1-8933-0a144ddebc97,Dehradun,Dehradun,Uttarakhand,India,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Jul-Sep,32739,6.1,6.0,30.308,78.0153,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
f4c876b9-5dcf-4c62-befb-bfbf228f0f7a,Bali,Bali,Bali,Indonesia,beach,Stunning coastal destination with golden sands and azure waters.,Jul-Sep,21624,5.7,9.0,-8.3516,115.119,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
0d5368a5-dc28-43c2-8b18-63ec3f375ede,Bangkok,Bangkok,Bangkok,Thailand,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Oct-Mar,38073,9.0,7.8,13.754,100.5461,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
96e36cab-5ec5-42c2-b9ad-782bc51ccaef,Phuket,Phuket,Phuket,Thailand,beach,Stunning coastal destination with golden sands and azure waters.,Apr-Jun,20779,8.9,9.6,7.8723,98.4171,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
215065ef-cacb-48ca-bad7-6894f7f51da7,Chiang Mai,Chiang Mai,Chiang Mai,Thailand,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Year-round,36210,7.9,6.1,18.7602,98.9789,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
8bfa6957-c989-46b3-b41a-73c834527872,Singapore,Singapore,Singapore,Singapore,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Oct-Mar,22742,6.8,8.3,1.3425,103.7863,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
0f3b2a9c-2b3f-41f8-97dc-f6723ec81482,Kuala Lumpur,Kuala Lumpur,KL,Malaysia,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Jul-Sep,14182,9.4,7.6,3.1797,101.6961,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
6c536f67-ef6b-4eb6-9e61-8e0024fbf383,Ho Chi Minh City,Ho Chi Minh City,Vietnam,Vietnam,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Oct-Mar,12750,8.1,5.7,10.8193,106.5847,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
29c4f1e6-e6d6-4716-981a-c9f52ccdfe70,Hanoi,Hanoi,Hanoi,Vietnam,heritage,Historic destination with ancient monuments and architectural marvels.,Jul-Sep,11363,6.3,6.6,21.0546,105.8421,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
c68b4ca4-33c1-4419-a3a7-ecd58f5ea799,Ha Long Bay,Ha Long Bay,Quang Ninh,Vietnam,nature,Pristine natural destination with lush landscapes and wildlife.,Jul-Sep,9133,8.8,7.3,20.935,107.1391,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800
cc9fbdb5-9156-4e9e-97c7-7d2e51b22e8c,Siem Reap,Siem Reap,Siem Reap,Cambodia,heritage,Historic destination with ancient monuments and architectural marvels.,Apr-Jun,9673,8.1,8.7,13.3823,103.8702,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
5662f9ee-9253-44f4-a832-1d4ab24ae926,Manila,Manila,Philippines,Philippines,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Nov-Feb,16532,8.9,8.0,14.5734,120.9816,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
45eb73a9-f9b8-4c71-bc8d-ced2d213c078,Palawan,Palawan,Palawan,Philippines,island,Tropical island paradise with turquoise waters.,Oct-Mar,51960,9.3,7.2,9.8105,118.7253,https://images.unsplash.com/photo-1506197603052-3cc9c3a201bd?w=800
015ec2cd-cec1-422e-9754-e4ca03eb5b45,Tokyo,Tokyo,Tokyo,Japan,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Year-round,29898,9.4,8.4,35.704,139.6167,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
37181a52-79ad-4e53-9f72-f19e825fa946,Kyoto,Kyoto,Kyoto,Japan,heritage,Historic destination with ancient monuments and architectural marvels.,Apr-Jun,7771,7.8,9.5,35.0192,135.8089,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
9e6de5ca-476d-4c2b-afc3-b80fa61fd8c7,Osaka,Osaka,Osaka,Japan,city,"Vibrant urban destination with culture, cuisine, and nightlife.",Jul-Sep,22997,9.3,6.0,34.7029,135.5354,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800
